quad,horz,vert,valu
1520,15,20,3
1521,15,21,3
1522,15,22,2
1523,15,23,2
1524,15,24,4
1600,16,0,3
1601,16,1,1
1602,16,2,1
1603,16,3,4
1604,16,4,3
1605,16,5,2
1606,16,6,1
1607,16,7,2
1608,16,8,4
1609,16,9,4
1610,16,10,3
1611,16,11,1
1612,16,12,3
1613,16,13,0
1614,16,14,2
1615,16,15,2
1616,16,16,1
1617,16,17,3
1618,16,18,4
1619,16,19,1
1620,16,20,4
1621,16,21,3
1622,16,22,3
1623,16,23,4
1624,16,24,4
1700,17,0,3
1701,17,1,1
1702,17,2,1
1703,17,3,2
1704,17,4,4
1705,17,5,2
1706,17,6,1
1707,17,7,1
1708,17,8,4
1709,17,9,3
1710,17,10,3
1711,17,11,2
1712,17,12,4
1713,17,13,2
1714,17,14,4
1715,17,15,4
1716,17,16,1
1717,17,17,1
1718,17,18,4
1719,17,19,1
1720,17,20,1
1721,17,21,3
1722,17,22,3
1723,17,23,3
1724,17,24,4
1800,18,0,3
1801,18,1,4
1802,18,2,3
1803,18,3,4
1804,18,4,2
1805,18,5,2
1806,18,6,4
1807,18,7,1
1808,18,8,0
1809,18,9,4
1810,18,10,2
1811,18,11,2
1812,18,12,4
1813,18,13,2
1814,18,14,1
1815,18,15,1
1816,18,16,2
1817,18,17,1
1818,18,18,2
1819,18,19,1
1820,18,20,1
1821,18,21,4
1822,18,22,4
1823,18,23,0
1824,18,24,0
1900,19,0,4
1901,19,1,0
1902,19,2,4
1903,19,3,4
1904,19,4,4
1905,19,5,2
1906,19,6,3
1907,19,7,0
1908,19,8,0
1909,19,9,4
1910,19,10,3
1911,19,11,3
1912,19,12,0
1913,19,13,4
1914,19,14,4
1915,19,15,2
1916,19,16,4
1917,19,17,3
1918,19,18,1
1919,19,19,2
1920,19,20,2
1921,19,21,2
1922,19,22,2
1923,19,23,1
1924,19,24,0
2000,20,0,0
2001,20,1,0
2002,20,2,4
2003,20,3,4
2004,20,4,3
2005,20,5,3
2006,20,6,1
2007,20,7,4
2008,20,8,4
2009,20,9,3
2010,20,10,3
2011,20,11,3
2012,20,12,4
2013,20,13,4
2014,20,14,3
2015,20,15,2
2016,20,16,4
2017,20,17,4
2018,20,18,3
2019,20,19,4
2020,20,20,2
2021,20,21,3
2022,20,22,2
2023,20,23,1
2024,20,24,3
2100,21,0,0
2101,21,1,2
2102,21,2,3
2103,21,3,0
2104,21,4,4
2105,21,5,4
2106,21,6,4
2107,21,7,4
2108,21,8,4
2109,21,9,0
2110,21,10,0
2111,21,11,4
2112,21,12,4
2113,21,13,0
2114,21,14,3
2115,21,15,2
2116,21,16,3
2117,21,17,4
2118,21,18,0
2119,21,19,4
2120,21,20,4
2121,21,21,3
2122,21,22,4
2123,21,23,1
2124,21,24,3
2200,22,0,3
2201,22,1,2
2202,22,2,4
2203,22,3,0
2204,22,4,3
2205,22,5,3
2206,22,6,2
2207,22,7,0
2208,22,8,3
2209,22,9,4
2210,22,10,0
2211,22,11,2
2212,22,12,2
2213,22,13,3
2214,22,14,3
2215,22,15,0
2216,22,16,4
2217,22,17,3
2218,22,18,4
2219,22,19,4
2220,22,20,4
2221,22,21,4
2222,22,22,2
2223,22,23,3
2224,22,24,3
2300,23,0,4
2301,23,1,4
2302,23,2,4
2303,23,3,0
2304,23,4,3
2305,23,5,3
2306,23,6,2
2307,23,7,4
2308,23,8,3
2309,23,9,3
2310,23,10,4
2311,23,11,1
2312,23,12,3
2313,23,13,0
2314,23,14,4
2315,23,15,4
2316,23,16,0
2317,23,17,4
2318,23,18,3
2319,23,19,4
2320,23,20,4
2321,23,21,2
2322,23,22,0
2323,23,23,3
2324,23,24,2
2400,24,0,4
2401,24,1,2
2402,24,2,0
2403,24,3,0
2404,24,4,0
2405,24,5,4
2406,24,6,1
2407,24,7,1
2408,24,8,2
2409,24,9,3
2410,24,10,4
2411,24,11,1
2412,24,12,3
2413,24,13,0
2414,24,14,4
2415,24,15,2
2416,24,16,4
2417,24,17,2
2418,24,18,4
2419,24,19,2
2420,24,20,2
2421,24,21,4
2422,24,22,4
2423,24,23,3
2424,24,24,3
2500,25,0,0
2501,25,1,0
2502,25,2,0
2503,25,3,0
2504,25,4,0
2505,25,5,2
2506,25,6,2
2507,25,7,1
2508,25,8,3
2509,25,9,4
2510,25,10,0
2511,25,11,3
2512,25,12,4
2513,25,13,0
2514,25,14,4
2515,25,15,2
2516,25,16,2
2517,25,17,0
2518,25,18,0
2519,25,19,0
2520,25,20,3
2521,25,21,4
2522,25,22,3
2523,25,23,4
2524,25,24,2
2600,26,0,0
2601,26,1,3
2602,26,2,0
2603,26,3,0
2604,26,4,4
2605,26,5,4
2606,26,6,4
2607,26,7,4
2608,26,8,4
2609,26,9,0
2610,26,10,4
2611,26,11,4
2612,26,12,0
2613,26,13,0
2614,26,14,0
2615,26,15,4
2616,26,16,2
2617,26,17,0
2618,26,18,0
2619,26,19,0
2620,26,20,2
2621,26,21,2
2622,26,22,4
2623,26,23,1
2624,26,24,2
2700,27,0,0
2701,27,1,0
2702,27,2,3
2703,27,3,4
2704,27,4,0
2705,27,5,2
2706,27,6,4
2707,27,7,4
2708,27,8,2
2709,27,9,2
2710,27,10,0
2711,27,11,2
2712,27,12,3
2713,27,13,2
2714,27,14,0
2715,27,15,2
2716,27,16,0
2717,27,17,0
2718,27,18,4
2719,27,19,2
2720,27,20,4
2721,27,21,2
2722,27,22,4
2723,27,23,1
2724,27,24,1
2800,28,0,0
2801,28,1,0
2802,28,2,0
2803,28,3,2
2804,28,4,0
2805,28,5,0
2806,28,6,2
2807,28,7,0
2808,28,8,2
2809,28,9,1
2810,28,10,4
2811,28,11,0
2812,28,12,0
2813,28,13,1
2814,28,14,4
2815,28,15,2
2816,28,16,2
2817,28,17,2
2818,28,18,4
2819,28,19,4
2820,28,20,3
2821,28,21,3
2822,28,22,1
2823,28,23,1
2824,28,24,1
2900,29,0,4
2901,29,1,0
2902,29,2,0
2903,29,3,0
2904,29,4,0
2905,29,5,0
2906,29,6,0
2907,29,7,4
2908,29,8,2
2909,29,9,4
2910,29,10,2
2911,29,11,4
2912,29,12,4
2913,29,13,1
2914,29,14,2
2915,29,15,4
2916,29,16,2
2917,29,17,4
2918,29,18,1
2919,29,19,3
2920,29,20,3
2921,29,21,3
2922,29,22,1
2923,29,23,4
2924,29,24,4
3000,30,0,2
3001,30,1,4
3002,30,2,3
3003,30,3,0
3004,30,4,3
3005,30,5,3
3006,30,6,4
3007,30,7,4
3008,30,8,4
3009,30,9,4
3010,30,10,2
3011,30,11,2
3012,30,12,4
3013,30,13,4
3014,30,14,3
3015,30,15,4
3016,30,16,3
3017,30,17,4
3018,30,18,1
3019,30,19,3
3020,30,20,3
3021,30,21,3
3022,30,22,1
3023,30,23,2
3024,30,24,2
3100,31,0,3
3101,31,1,0
3102,31,2,3
3103,31,3,4
3104,31,4,3
3105,31,5,3
3106,31,6,4
3107,31,7,4
3108,31,8,4
3109,31,9,2
3110,31,10,0
3111,31,11,0
3112,31,12,2
3113,31,13,2
3114,31,14,3
3115,31,15,2
3116,31,16,4
3117,31,17,1
3118,31,18,1
3119,31,19,1
3120,31,20,4
3121,31,21,3
3122,31,22,4
3123,31,23,4
3124,31,24,1
3200,32,0,3
3201,32,1,0
3202,32,2,4
3203,32,3,4
3204,32,4,3
3205,32,5,4
3206,32,6,4
3207,32,7,0
3208,32,8,2
3209,32,9,4
3210,32,10,0
3211,32,11,3
3212,32,12,3
3213,32,13,4
3214,32,14,4
3215,32,15,4
3216,32,16,1
3217,32,17,1
3218,32,18,2
3219,32,19,3
3220,32,20,3
3221,32,21,3
3222,32,22,3
3223,32,23,4
3224,32,24,2
3300,33,0,0
3301,33,1,0
3302,33,2,4
3303,33,3,2
3304,33,4,3
3305,33,5,4
3306,33,6,4
3307,33,7,4
3308,33,8,4
3309,33,9,4
3310,33,10,3
3311,33,11,4
3312,33,12,3
3313,33,13,3
3314,33,14,3
3315,33,15,4
3316,33,16,1
3317,33,17,1
3318,33,18,4
3319,33,19,3
3320,33,20,1
3321,33,21,4
3322,33,22,3
3323,33,23,4
3324,33,24,4
3400,34,0,2
3401,34,1,0
3402,34,2,0
3403,34,3,0
3404,34,4,4
3405,34,5,3
3406,34,6,2
3407,34,7,4
3408,34,8,4
3409,34,9,3
3410,34,10,3
3411,34,11,4
3412,34,12,4
3413,34,13,4
3414,34,14,3
3415,34,15,1
3416,34,16,1
3417,34,17,1
3418,34,18,4
3419,34,19,1
3420,34,20,1
3421,34,21,4
3422,34,22,4
3423,34,23,4
3424,34,24,4
3500,35,0,3
3501,35,1,0
3502,35,2,2
3503,35,3,4
3504,35,4,4
3505,35,5,3
3506,35,6,3
3507,35,7,4
3508,35,8,1
3509,35,9,4
3510,35,10,1
3511,35,11,3
3512,35,12,4
3513,35,13,4
3514,35,14,3
3515,35,15,3
3516,35,16,3
3517,35,17,4
3518,35,18,4
3519,35,19,3
3520,35,20,1
3521,35,21,3
3522,35,22,4
3523,35,23,1
3524,35,24,4
3600,36,0,4
3601,36,1,2
3602,36,2,4
3603,36,3,0
3604,36,4,0
3605,36,5,2
3606,36,6,4
3607,36,7,3
3608,36,8,1
3609,36,9,2
3610,36,10,4
3611,36,11,4
3612,36,12,2
3613,36,13,2
3614,36,14,4
3615,36,15,3
3616,36,16,4
3617,36,17,3
3618,36,18,4
3619,36,19,4
3620,36,20,3
3621,36,21,3
3622,36,22,3
3623,36,23,1
3624,36,24,1
3700,37,0,3
3701,37,1,4
3702,37,2,4
3703,37,3,4
3704,37,4,3
3705,37,5,4
3706,37,6,0
3707,37,7,2
3708,37,8,3
3709,37,9,4
3710,37,10,0
3711,37,11,0
3712,37,12,0
3713,37,13,2
3714,37,14,3
3715,37,15,4
3716,37,16,2
3717,37,17,3
3718,37,18,0
3719,37,19,2
3720,37,20,3
3721,37,21,1
3722,37,22,3
3723,37,23,3
3724,37,24,4
3800,38,0,1
3801,38,1,0
3802,38,2,2
3803,38,3,3
3804,38,4,2
3805,38,5,4
3806,38,6,2
3807,38,7,2
3808,38,8,4
3809,38,9,4
3810,38,10,3
3811,38,11,0
3812,38,12,0
3813,38,13,4
3814,38,14,1
3815,38,15,2
3816,38,16,4
3817,38,17,0
3818,38,18,0
3819,38,19,0
3820,38,20,4
3821,38,21,4
3822,38,22,2
3823,38,23,4
3824,38,24,4
3900,39,0,1
3901,39,1,3
3902,39,2,3
3903,39,3,2
3904,39,4,2
3905,39,5,3
3906,39,6,4
3907,39,7,2
3908,39,8,4
3909,39,9,3
3910,39,10,3
3911,39,11,3
3912,39,12,4
3913,39,13,4
3914,39,14,4
3915,39,15,2
3916,39,16,3
3917,39,17,0
3918,39,18,3
3919,39,19,4
3920,39,20,3
3921,39,21,2
3922,39,22,4
3923,39,23,3
3924,39,24,0
4000,40,0,1
4001,40,1,1
4002,40,2,2
4003,40,3,2
4004,40,4,4
4005,40,5,3
4006,40,6,4
4007,40,7,3
4008,40,8,4
4009,40,9,4
4010,40,10,3
4011,40,11,4
4012,40,12,4
4013,40,13,3
4014,40,14,2
4015,40,15,2
4016,40,16,3
4017,40,17,1
4018,40,18,1
4019,40,19,3
4020,40,20,0
4021,40,21,0
4022,40,22,0
4023,40,23,3
4024,40,24,4
4100,41,0,1
4101,41,1,4
4102,41,2,2
4103,41,3,2
4104,41,4,1
4105,41,5,4
4106,41,6,0
4107,41,7,0
4108,41,8,2
4109,41,9,4
4110,41,10,3
4111,41,11,3
4112,41,12,3
4113,41,13,0
4114,41,14,4
4115,41,15,2
4116,41,16,3
4117,41,17,3
4118,41,18,3
4119,41,19,0
4120,41,20,2
4121,41,21,0
4122,41,22,0
4123,41,23,0
4124,41,24,4
4200,42,0,2
4201,42,1,0
4202,42,2,0
4203,42,3,4
4204,42,4,4
4205,42,5,3
4206,42,6,4
4207,42,7,4
4208,42,8,4
4209,42,9,0
4210,42,10,4
4211,42,11,2
4212,42,12,4
4213,42,13,0
4214,42,14,0
4215,42,15,4
4216,42,16,2
4217,42,17,4
4218,42,18,3
4219,42,19,0
4220,42,20,0
4221,42,21,0
4222,42,22,0
4223,42,23,0
4224,42,24,0
4300,43,0,2
4301,43,1,0
4302,43,2,0
4303,43,3,4
4304,43,4,4
4305,43,5,2
4306,43,6,4
4307,43,7,3
4308,43,8,0
4309,43,9,0
4310,43,10,3
4311,43,11,2
4312,43,12,4
4313,43,13,3
4314,43,14,3
4315,43,15,3
4316,43,16,3
4317,43,17,2
4318,43,18,3
4319,43,19,0
4320,43,20,0
4321,43,21,4
4322,43,22,4
4323,43,23,0
4324,43,24,0
4400,44,0,2
4401,44,1,4
4402,44,2,4
4403,44,3,4
4404,44,4,4
4405,44,5,2
4406,44,6,2
4407,44,7,4
4408,44,8,4
4409,44,9,0
4410,44,10,2
4411,44,11,3
4412,44,12,0
4413,44,13,0
4414,44,14,0
4415,44,15,0
4416,44,16,0
4417,44,17,2
4418,44,18,0
4419,44,19,0
4420,44,20,2
4421,44,21,2
4422,44,22,4
4423,44,23,4
4424,44,24,4
4500,45,0,4
4501,45,1,3
4502,45,2,4
4503,45,3,2
4504,45,4,4
4505,45,5,3
4506,45,6,4
4507,45,7,3
4508,45,8,4
4509,45,9,4
4510,45,10,1
4511,45,11,0
4512,45,12,2
4513,45,13,3
4514,45,14,4
4515,45,15,3
4516,45,16,3
4517,45,17,4
4518,45,18,0
4519,45,19,0
4520,45,20,0
4521,45,21,4
4522,45,22,1
4523,45,23,1
4524,45,24,2
4600,46,0,4
4601,46,1,2
4602,46,2,0
4603,46,3,0
4604,46,4,2
4605,46,5,3
4606,46,6,4
4607,46,7,1
4608,46,8,1
4609,46,9,4
4610,46,10,4
4611,46,11,0
4612,46,12,2
4613,46,13,2
4614,46,14,4
4615,46,15,4
4616,46,16,3
4617,46,17,3
4618,46,18,3
4619,46,19,4
4620,46,20,3
4621,46,21,1
4622,46,22,1
4623,46,23,1
4624,46,24,2
4700,47,0,3
4701,47,1,4
4702,47,2,2
4703,47,3,4
4704,47,4,4
4705,47,5,3
4706,47,6,4
4707,47,7,4
4708,47,8,4
4709,47,9,4
4710,47,10,4
4711,47,11,4
4712,47,12,4
4713,47,13,2
4714,47,14,4
4715,47,15,0
4716,47,16,3
4717,47,17,4
4718,47,18,4
4719,47,19,4
4720,47,20,3
4721,47,21,1
4722,47,22,1
4723,47,23,1
4724,47,24,2
4800,48,0,4
4801,48,1,1
4802,48,2,4
4803,48,3,4
4804,48,4,2
4805,48,5,1
4806,48,6,2
4807,48,7,3
4808,48,8,4
4809,48,9,4
4810,48,10,3
4811,48,11,4
4812,48,12,3
4813,48,13,2
4814,48,14,4
4815,48,15,0
4816,48,16,0
4817,48,17,3
4818,48,18,3
4819,48,19,4
4820,48,20,3
4821,48,21,3
4822,48,22,2
4823,48,23,3
4824,48,24,4
4900,49,0,4
4901,49,1,1
4902,49,2,4
4903,49,3,4
4904,49,4,3
4905,49,5,4
4906,49,6,4
4907,49,7,4
4908,49,8,4
4909,49,9,3
4910,49,10,3
4911,49,11,3
4912,49,12,4
4913,49,13,4
4914,49,14,2
4915,49,15,3
4916,49,16,2
4917,49,17,2
4918,49,18,3
4919,49,19,0
4920,49,20,0
4921,49,21,3
4922,49,22,0
4923,49,23,0
4924,49,24,0
